date,tank,temperature (°C),notes
1/6/2023,4,27.9,
1/6/2023,5,26.7,
1/6/2023,6,27.1,
1/6/2023,7,27.1,
1/6/2023,8,27.2,
1/6/2023,9,30,
1/6/2023,10,29.4,
1/6/2023,11,26.8,
1/6/2023,12,30,
1/6/2023,13,27,
1/6/2023,14,26.7,
1/6/2023,15,30.1,
1/6/2023,16,26.9,
1/6/2023,17,29.2,
1/6/2023,18,30,
1/6/2023,19,29.5,
1/6/2023,20,27,
1/6/2023,21,28.4,
1/6/2023,22,27.1,
1/6/2023,23,29.4,
1/6/2023,24,26.7,
2/6/2023,1,27.3,
2/6/2023,2,25.4,
2/6/2023,3,27.4,
2/6/2023,4,27.9,
2/6/2023,5,25.5,
2/6/2023,6,26.4,
2/6/2023,7,26.4,
2/6/2023,8,26.5,
2/6/2023,9,29,
2/6/2023,10,28.4,
2/6/2023,11,26,
2/6/2023,12,28.6,
2/6/2023,13,25.5,
2/6/2023,14,25.4,
2/6/2023,15,28.7,
2/6/2023,16,26,
2/6/2023,17,28.4,
2/6/2023,18,28.6,
2/6/2023,19,28.2,
2/6/2023,20,26,
2/6/2023,21,27.3,
2/6/2023,22,25.1,
2/6/2023,23,27.8,
2/6/2023,24,25.2,
3/6/2023,1,27.6,
3/6/2023,2,25.4,
3/6/2023,3,28.1,
3/6/2023,4,28.7,
3/6/2023,5,25.8,
3/6/2023,6,26.2,
3/6/2023,7,26,
3/6/2023,8,26.1,
3/6/2023,9,29.7,
3/6/2023,10,29.3,
3/6/2023,11,25.8,
3/6/2023,12,29.5,
3/6/2023,13,26,
3/6/2023,14,25.7,
3/6/2023,15,29.7,
3/6/2023,16,26,
3/6/2023,17,29.3,
3/6/2023,18,29.7,
3/6/2023,19,29,
3/6/2023,20,26,
3/6/2023,21,27.9,
3/6/2023,22,25.5,
3/6/2023,23,28.7,
3/6/2023,24,25.7,
4/6/2023,1,26.9,
4/6/2023,2,25.3,
4/6/2023,3,27.2,
4/6/2023,4,27.6,
4/6/2023,5,25.1,
4/6/2023,6,25.3,
4/6/2023,7,25.3,
4/6/2023,8,25.2,
4/6/2023,9,28.3,
4/6/2023,10,27.7,
4/6/2023,11,25.2,
4/6/2023,12,28.1,
4/6/2023,13,25.1,
4/6/2023,14,24.7,
4/6/2023,15,27.9,
4/6/2023,16,24.9,
4/6/2023,17,27.6,
4/6/2023,18,27.7,
4/6/2023,19,24.9,
4/6/2023,20,25.2,
4/6/2023,21,26.9,
4/6/2023,22,24.3,
